year,district,institute_name,program,gender,enrolled,did,iid
2015,Bhubaneswar,Barabati ITI,Data Entry,Male,163.0,0031,0001
2015,Bhubaneswar,Barabati ITI,Electrician,Female,2406.0,0031,0001
2015,Bhubaneswar,Barabati ITI,Electrician,Male,0.0,0031,0001
2015,Bhubaneswar,Barabati ITI,Electrician,Other,210.0,0031,0001
2015,Bhubaneswar,Barabati ITI,Fitter,Male,104.0,0031,0001
2015,Bhubaneswar,Barabati ITI,Fitter,Other,208.0,0031,0001
2015,Bhubaneswar,Barabati ITI,Mechanic,Female,179.0,0031,0001
2015,Bhubaneswar,Barabati Skills Center,Electrician,Female,706.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Electrician,Male,0.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Fitter,Female,2922.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Fitter,Male,0.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Fitter,Other,0.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Mechanic,Female,2403.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Mechanic,Male,105.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Mechanic,Other,2180.0,0031,0002
2015,Bhubaneswar,Barabati Skills Center,Welder,Male,281.0,0031,0002
2015,Bhubaneswar,Barabati Technical Institute,Data Entry,Male,151.0,0031,0003
2015,Bhubaneswar,Barabati Technical Institute,Data Entry,Other,213.0,0031,0003
2015,Bhubaneswar,Barabati Technical Institute,Fitter,Other,0.0,0031,0003
2015,Bhubaneswar,Barabati Technical Institute,Mechanic,Other,186.0,0031,0003
2015,Bhubaneswar,Barabati Technical Institute,Welder,Male,1656.0,0031,0003
2015,Bhubaneswar,Barabati Training Institute,Data Entry,Female,198.0,0031,0004
2015,Bhubaneswar,Barabati Training Institute,Data Entry,Other,1201.0,0031,0004
2015,Bhubaneswar,Barabati Training Institute,Fitter,Female,0.0,0031,0004
2015,Bhubaneswar,Barabati Training Institute,Fitter,Other,720.0,0031,0004
2015,Bhubaneswar,Barabati Training Institute,Mechanic,Male,195.0,0031,0004
2015,Bhubaneswar,Barabati Vocational College,Data Entry,Female,144.0,0031,0005
2015,Bhubaneswar,Barabati Vocational College,Data Entry,Other,2138.0,0031,0005
2015,Bhubaneswar,Barabati Vocational College,Electrician,Female,0.0,0031,0005
2015,Bhubaneswar,Barabati Vocational College,Mechanic,Female,4145.0,0031,0005
2015,Bhubaneswar,Barabati Vocational College,Mechanic,Male,0.0,0031,0005
2015,Bhubaneswar,Barabati Vocational College,Mechanic,Other,2521.0,0031,0005
2015,Bhubaneswar,Barabati Vocational College,Welder,Male,267.0,0031,0005
2015,Bhubaneswar,Barabati Vocational College,Welder,Other,0.0,0031,0005
2015,Bhubaneswar,Bhubaneshwar ITI,Data Entry,Male,0.0,0031,0006
2015,Bhubaneswar,Bhubaneshwar ITI,Electrician,Other,294.0,0031,0006
2015,Bhubaneswar,Bhubaneshwar ITI,Fitter,Other,45.0,0031,0006
2015,Bhubaneswar,Bhubaneshwar Skills Center,Data Entry,Male,228.0,0031,0007
2015,Bhubaneswar,Bhubaneshwar Skills Center,Electrician,Other,1610.0,0031,0007
2015,Bhubaneswar,Bhubaneshwar Skills Center,Mechanic,Female,1372.0,0031,0007
2015,Bhubaneswar,Bhubaneshwar Technical Institute,Data Entry,Female,0.0,0031,0008
2015,Bhubaneswar,Bhubaneshwar Technical Institute,Data Entry,Male,0.0,0031,0008
2015,Bhubaneswar,Bhubaneshwar Technical Institute,Data Entry,Other,4838.0,0031,0008
2015,Bhubaneswar,Bhubaneshwar Technical Institute,Electrician,Male,1202.0,0031,0008
2015,Bhubaneswar,Bhubaneshwar Technical Institute,Fitter,Female,0.0,0031,0008
2015,Bhubaneswar,Bhubaneshwar Technical Institute,Mechanic,Female,179.0,0031,0008
2015,Bhubaneswar,Bhubaneshwar Training Institute,Data Entry,Male,0.0,0031,0009
2015,Bhubaneswar,Bhubaneshwar Training Institute,Data Entry,Other,2487.0,0031,0009
2015,Bhubaneswar,Bhubaneshwar Training Institute,Electrician,Female,0.0,0031,0009
2015,Bhubaneswar,Bhubaneshwar Training Institute,Fitter,Male,0.0,0031,0009
2015,Bhubaneswar,Bhubaneshwar Training Institute,Welder,Female,0.0,0031,0009
2015,Bhubaneswar,Bhubaneshwar Training Institute,Welder,Male,0.0,0031,0009
2015,Bhubaneswar,Bhubaneshwar Training Institute,Welder,Other,2353.0,0031,0009
2015,Bhubaneswar,Bhubaneshwar Vocational College,Data Entry,Other,687.0,0031,0010
2015,Bhubaneswar,Bhubaneshwar Vocational College,Electrician,Female,1598.0,0031,0010
2015,Bhubaneswar,Bhubaneshwar Vocational College,Mechanic,Other,0.0,0031,0010
2015,Bhubaneswar,Bhubaneshwar Vocational College,Welder,Female,2722.0,0031,0010
2015,Bhubaneswar,Chilika ITI,Data Entry,Male,46.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Data Entry,Other,224.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Electrician,Female,2104.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Electrician,Other,0.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Fitter,Female,2287.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Fitter,Male,1066.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Mechanic,Male,2561.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Mechanic,Other,206.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Welder,Female,0.0,0031,0011
2015,Bhubaneswar,Chilika ITI,Welder,Male,146.0,0031,0011
2015,Bhubaneswar,Chilika Skills Center,Data Entry,Female,0.0,0031,0012
2015,Bhubaneswar,Chilika Skills Center,Fitter,Female,1190.0,0031,0012
2015,Bhubaneswar,Chilika Skills Center,Fitter,Male,695.0,0031,0012
2015,Bhubaneswar,Chilika Skills Center,Mechanic,Female,0.0,0031,0012
2015,Bhubaneswar,Chilika Skills Center,Mechanic,Male,2758.0,0031,0012
2015,Bhubaneswar,Chilika Skills Center,Mechanic,Other,1650.0,0031,0012
2015,Bhubaneswar,Chilika Skills Center,Welder,Female,2393.0,0031,0012
2015,Bhubaneswar,Chilika Technical Institute,Data Entry,Male,0.0,0031,0013
2015,Bhubaneswar,Chilika Technical Institute,Electrician,Female,69.0,0031,0013
2015,Bhubaneswar,Chilika Technical Institute,Electrician,Male,0.0,0031,0013
2015,Bhubaneswar,Chilika Technical Institute,Electrician,Other,0.0,0031,0013
2015,Bhubaneswar,Chilika Technical Institute,Fitter,Female,0.0,0031,0013
2015,Bhubaneswar,Chilika Technical Institute,Mechanic,Other,1958.0,0031,0013
2015,Bhubaneswar,Chilika Technical Institute,Welder,Male,0.0,0031,0013
2015,Bhubaneswar,Chilika Technical Institute,Welder,Other,0.0,0031,0013
2015,Bhubaneswar,Chilika Training Institute,Data Entry,Other,2937.0,0031,0014
2015,Bhubaneswar,Chilika Training Institute,Electrician,Female,0.0,0031,0014
2015,Bhubaneswar,Chilika Training Institute,Electrician,Other,641.0,0031,0014
2015,Bhubaneswar,Chilika Training Institute,Fitter,Other,1818.0,0031,0014
2015,Bhubaneswar,Chilika Training Institute,Mechanic,Other,0.0,0031,0014
2015,Bhubaneswar,Chilika Training Institute,Welder,Female,1972.0,0031,0014
2015,Bhubaneswar,Chilika Vocational College,Data Entry,Male,0.0,0031,0015
2015,Bhubaneswar,Chilika Vocational College,Electrician,Male,0.0,0031,0015
2015,Bhubaneswar,Chilika Vocational College,Fitter,Other,0.0,0031,0015
2015,Bhubaneswar,Chilika Vocational College,Welder,Female,0.0,0031,0015
2015,Bhubaneswar,Chilika Vocational College,Welder,Male,0.0,0031,0015
2015,Bhubaneswar,Cuttack ITI,Data Entry,Female,2557.0,0031,0016
2015,Bhubaneswar,Cuttack ITI,Data Entry,Male,0.0,0031,0016
2015,Bhubaneswar,Cuttack ITI,Data Entry,Other,856.0,0031,0016
2015,Bhubaneswar,Cuttack ITI,Electrician,Female,2044.0,0031,0016
2015,Bhubaneswar,Cuttack ITI,Fitter,Female,0.0,0031,0016
2015,Bhubaneswar,Cuttack ITI,Fitter,Male,1647.0,0031,0016
2015,Bhubaneswar,Cuttack ITI,Welder,Male,57.0,0031,0016
2015,Bhubaneswar,Cuttack Skills Center,Data Entry,Other,219.0,0031,0017
2015,Bhubaneswar,Cuttack Skills Center,Fitter,Female,0.0,0031,0017
2015,Bhubaneswar,Cuttack Skills Center,Fitter,Male,0.0,0031,0017
2015,Bhubaneswar,Cuttack Skills Center,Fitter,Other,0.0,0031,0017
2015,Bhubaneswar,Cuttack Skills Center,Mechanic,Other,0.0,0031,0017
2015,Bhubaneswar,Cuttack Skills Center,Welder,Female,0.0,0031,0017
2015,Bhubaneswar,Cuttack Skills Center,Welder,Male,14.0,0031,0017
2015,Bhubaneswar,Cuttack Skills Center,Welder,Other,0.0,0031,0017
2015,Bhubaneswar,Cuttack Technical Institute,Electrician,Other,208.0,0031,0018
2015,Bhubaneswar,Cuttack Technical Institute,Mechanic,Female,0.0,0031,0018
2015,Bhubaneswar,Cuttack Technical Institute,Welder,Female,0.0,0031,0018
2015,Bhubaneswar,Cuttack Technical Institute,Welder,Other,61.0,0031,0018
2015,Bhubaneswar,Cuttack Training Institute,Data Entry,Male,183.0,0031,0019
2015,Bhubaneswar,Cuttack Training Institute,Data Entry,Other,256.0,0031,0019
2015,Bhubaneswar,Cuttack Training Institute,Electrician,Female,259.0,0031,0019
2015,Bhubaneswar,Cuttack Training Institute,Fitter,Female,203.0,0031,0019
2015,Bhubaneswar,Cuttack Training Institute,Fitter,Male,788.0,0031,0019
