district,year,institute_id,institute_name,program,gender,enrolled
Cuttack,2015,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Odisha Skills Center,Fitter,Male,62
Rurkela,2021,23b8c1e9-3924-46de-beb1-3b9046685257,Utkal Technical Institute,Electrician,Male,129
Purry,2018,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Cuttack Vocational College,Fitter,Female,NaN
Cuttackh,2020,972a8469-1641-4f82-8b9d-2434e465e150,Odisha Skills Center,Fitter,Female,879
Cuttack,2020,17fc695a-07a0-4a6e-8822-e8f36c031199,Barabati Training Institute,Welder,Male,245
Cuttackh,2016,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Cuttack ITI,Data Entry,Female,108
Sambalpur,2019,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Kalinga Skills Center,Electrician,Female,--
Puri,2020,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Barabati Skills Center,Welder,Other,NaN
Purry,2018,47378190-96da-4dac-b2ff-5d2a386ecbe0,Bhubaneshwar Vocational College,Mechanic,Female,--
Bhubaneswar,2018,c241330b-01a9-471f-9e8a-774bcf36d58b,Utkal ITI,Mechanic,Female,--
Sambalpur,2022,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Konark Vocational College,Fitter,Female,--
Rurkela,2021,371ecd7b-27cd-4130-8722-9389571aa876,Chilika Vocational College,Welder,Male,2587
Cuttack,2015,1a2a73ed-562b-4f79-8374-59eef50bea63,Kalinga Skills Center,Fitter,Other,226
Cuttackh,2021,5be6128e-18c2-4797-a142-ea7d17be3111,Chilika Vocational College,Data Entry,Female,293
Purry,2019,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Barabati Technical Institute,Welder,Female,90
Rourkela,2023,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Bhubaneshwar Training Institute,Electrician,Other,NaN
Puri,2020,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Bhubaneshwar Training Institute,Data Entry,Male,175
Cuttack,2020,4b0dbb41-8d52-48f1-942c-3fe860e7a113,Odisha Skills Center,Electrician,Male,300
Sambhalpur,2016,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Cuttack Skills Center,Fitter,Other,NaN
